number_of_rooms,number_of_bathrooms,sqft,location,days_on_market,initial_price,neighborhood,rental_price
0,1,"484,8",great,10,2271,south_side,2271.0
1,1,674,good,1,2167,downtown,2167.0
1,1,554,poor,19,1883,westbrae,1883.0
0,1,529,great,3,2431,south_side,2431.0
3,2,1219,great,3,5510,south_side,5510.0
1,1,398,great,11,2272,south_side,2272.0
3,2,1190,poor,58,4463,westbrae,4123.812
1,1,730,good,0,2224,downtown,2224.0
0,1,298,great,9,2104,south_side,2104.0
2,1,878,great,8,3861,south_side,3861.0
1,1,677,good,14,2041,downtown,2041.0
0,1,509,poor,18,1725,westbrae,
0,1,481,poor,49,1388,westbrae,
3,2,808,good,1,4677,downtown,
1,1,522,poor,30,1713,westbrae,
1,1,533,good,10,1903,downtown,
3,2,937,good,2,4736,downtown,
0,1,258,good,10,1544,downtown,
1,1,630,great,11,2543,south_side,
0,1,397,great,11,2168,south_side,
2,1,932,good,10,3413,downtown,
3,2,1069,good,9,4810,downtown,
0,1,267,poor,32,1302,westbrae,1270.752
0,1,332,good,6,1697,downtown,1697.0
1,1,712,poor,56,1617,westbrae,1500.576
3,2,1231,poor,25,4873,westbrae,4824.27
2,1,818,good,3,3359,downtown,3359.0
2,1,805,good,8,3358,downtown,3358.0
3,2,1158,poor,44,4601,westbrae,4380.152
3,2,952,great,7,5207,south_side,5207.0
2,1,771,good,8,3305,downtown,3305.0
1,1,333,great,6,2284,south_side,2284.0
1,1,500,poor,54,1448,westbrae,1349.536
2,1,690,poor,16,3095,westbrae,3095.0
0,1,524,great,13,2317,south_side,2317.0
2,1,762,good,1,3323,downtown,3323.0
2,1,872,good,14,3375,downtown,3375.0
1,1,673,great,7,2604,south_side,2604.0
2,1,792,good,5,3390,downtown,3390.0
2,1,640,good,8,3153,downtown,3153.0
0,1,454,poor,47,1353,westbrae,1279.938
2,1,932,good,10,3447,downtown,3447.0
0,1,340,good,5,1722,downtown,1722.0
1,1,595,good,1,2064,downtown,2064.0
2,1,558,good,3,3118,downtown,3118.0
3,2,823,good,10,4545,downtown,4545.0
3,2,1104,poor,16,4750,westbrae,4750.0
1,1,543,poor,18,1871,westbrae,1871.0
0,1,455,great,13,2205,south_side,2205.0
0,1,113,good,13,1378,downtown,1378.0
2,1,553,good,8,3073,downtown,3073.0
3,2,1030,great,14,5260,south_side,5260.0
3,2,1175,great,6,5446,south_side,5446.0
1,1,644,great,12,2572,south_side,2572.0
1,1,421,great,8,2333,south_side,2333.0
2,1,786,poor,63,2716,westbrae,2482.424
0,1,518,poor,21,1674,westbrae,1670.652
1,1,532,great,4,2491,south_side,2491.0
1,1,533,poor,26,1748,westbrae,1727.024
1,1,733,poor,56,1671,westbrae,1550.688
0,1,417,good,9,1687,downtown,1687.0
2,1,891,good,3,3504,downtown,3504.0
2,1,938,poor,50,3008,westbrae,2827.52
2,1,688,good,12,3154,downtown,3154.0
1,1,504,poor,22,1791,westbrae,1783.836
1,1,741,good,3,2226,downtown,2226.0
2,1,564,good,13,3001,downtown,3001.0
2,1,503,good,10,3026,downtown,3026.0
2,1,755,good,7,3254,downtown,3254.0
0,1,415,poor,39,1472,westbrae,1416.064
2,1,911,good,6,3492,downtown,3492.0
3,2,853,good,4,4710,downtown,4710.0
0,1,337,good,1,1775,downtown,1775.0
1,1,477,poor,64,1371,westbrae,1250.352
3,2,1081,great,7,5351,south_side,5351.0
0,1,464,poor,21,1645,westbrae,1641.71
3,2,1219,good,1,5030,downtown,5030.0
3,2,1106,good,10,4833,downtown,4833.0
2,1,891,good,9,3371,downtown,3371.0
1,1,518,good,6,2005,downtown,2005.0
0,1,245,great,4,2094,south_side,2094.0
3,2,1216,great,5,5495,south_side,5495.0
0,1,381,poor,28,1483,westbrae,1459.272
2,1,819,great,7,3806,south_side,3806.0
2,1,787,good,9,3332,downtown,3332.0
3,2,936,good,2,4738,downtown,4738.0
2,1,740,good,6,3294,downtown,3294.0
3,2,1215,great,13,5467,south_side,5467.0
2,1,853,poor,40,3045,westbrae,2923.2
2,1,942,poor,59,2977,westbrae,2744.794
3,2,1204,good,7,5016,downtown,5016.0
3,2,1098,great,10,5386,south_side,5386.0
1,1,741,good,12,2170,downtown,2170.0
1,1,603,great,10,2508,south_side,2508.0
3,2,1074,good,12,4796,downtown,4796.0
1,1,588,good,14,1961,downtown,1961.0
0,1,334,poor,48,1243,westbrae,1173.392
2,1,736,great,2,3854,south_side,3854.0
3,2,1056,poor,54,4408,westbrae,4108.256
1,1,625,great,2,2578,south_side,2578.0
2,1,530,poor,47,2613,westbrae,2471.898
2,1,626,great,4,3693,south_side,3693.0
1,1,736,poor,30,1891,westbrae,1853.18
3,2,882,good,10,4659,downtown,4659.0
2,1,646,good,1,3280,downtown,3280.0
0,1,231,good,2,1650,downtown,1650.0
0,1,157,poor,36,1172,westbrae,1134.496
1,1,489,good,9,1916,downtown,1916.0
0,1,464,good,11,1793,downtown,1793.0
1,1,320,great,8,2268,south_side,2268.0
0,1,390,great,4,2230,south_side,2230.0
2,1,682,great,5,3705,south_side,3705.0
2,1,729,great,2,3856,south_side,3856.0
3,2,837,poor,23,4439,westbrae,4412.366
3,2,933,poor,22,4557,westbrae,4538.772
1,1,606,great,14,2454,south_side,2454.0
2,1,663,great,3,3691,south_side,3691.0
1,1,407,good,3,1894,downtown,1894.0
1,1,692,good,5,2115,downtown,2115.0
3,2,975,great,6,5271,south_side,5271.0
2,1,726,good,11,3242,downtown,3242.0
1,1,329,good,10,1755,downtown,1755.0
1,1,418,good,3,1907,downtown,1907.0
1,1,627,good,2,2060,downtown,2060.0
0,1,435,poor,26,1553,westbrae,1534.364
2,1,533,great,2,3645,south_side,3645.0
3,2,820,poor,23,4430,westbrae,4403.42
2,1,935,great,13,3880,south_side,3880.0
0,1,144,great,4,1979,south_side,1979.0
2,1,872,poor,61,2884,westbrae,2647.512
2,1,646,poor,53,2750,westbrae,2568.5
0,1,141,poor,59,940,westbrae,866.68
3,2,816,poor,25,4427,westbrae,4382.73
0,1,320,poor,36,1322,westbrae,1279.696
3,2,1143,poor,18,4846,westbrae,4846.0
3,2,1087,good,2,4898,downtown,4898.0
0,1,369,poor,43,1349,westbrae,1286.946
1,1,358,good,3,1866,downtown,1866.0
0,1,539,good,3,1899,downtown,1899.0
2,1,885,poor,50,2974,westbrae,2795.56
2,1,938,good,7,3497,downtown,3497.0
0,1,488,poor,49,1418,westbrae,1335.756
3,2,1157,good,10,4862,downtown,4862.0
3,2,902,poor,29,4456,westbrae,4375.792
2,1,623,poor,26,2961,westbrae,2925.468
2,1,803,good,8,3279,downtown,3279.0
3,2,1006,poor,44,4416,westbrae,4204.032
3,2,916,poor,36,4378,westbrae,4237.904
3,2,1180,good,5,5021,downtown,5021.0
0,1,461,poor,31,1547,westbrae,1512.966
0,1,390,poor,26,1531,westbrae,1512.628
0,1,271,good,14,1557,downtown,1557.0
2,1,745,poor,37,2951,westbrae,2850.666
3,2,1080,good,14,4771,downtown,4771.0
3,2,963,good,3,4734,downtown,4734.0
2,1,901,poor,24,3226,westbrae,3200.192
0,1,307,great,7,2151,south_side,2151.0
3,2,871,good,11,4626,downtown,4626.0
1,1,649,poor,46,1678,westbrae,1590.744
0,1,459,poor,37,1464,westbrae,1414.224
1,1,624,poor,31,1847,westbrae,1806.366
1,1,350,good,11,1759,downtown,1759.0
1,1,600,good,11,2009,downtown,2009.0
0,1,541,good,8,1894,downtown,1894.0
3,2,939,poor,29,4484,westbrae,4403.288
2,1,606,great,4,3675,south_side,3675.0
3,2,1139,good,11,4861,downtown,4861.0
3,2,1234,good,3,5052,downtown,5052.0
3,2,1150,good,2,4982,downtown,4982.0
3,2,996,good,13,4758,downtown,4758.0
2,1,559,great,1,3657,south_side,3657.0
1,1,447,good,12,1784,downtown,1784.0
1,1,698,poor,23,1998,westbrae,1986.012
0,1,371,good,13,1639,downtown,1639.0
0,1,425,poor,34,1449,westbrae,1408.428
3,2,948,great,8,5224,south_side,5224.0
0,1,441,poor,19,1613,westbrae,1613.0
0,1,112,good,7,1487,downtown,1487.0
2,1,876,poor,15,3347,westbrae,3347.0
3,2,860,good,4,4631,downtown,4631.0
0,1,312,poor,26,1479,westbrae,1461.252
0,1,233,great,10,2079,south_side,2079.0
1,1,743,great,3,2732,south_side,2732.0
2,1,564,good,6,3137,downtown,3137.0
0,1,335,good,12,1609,downtown,1609.0
2,1,879,great,10,3923,south_side,3923.0
