UniqueIdentifier,Department,WorkingStructure,Age,DISC,DISCFirstLetter,DISCFirst2Letters,Nationality,OrganizationalUnit,Gender,HolidayUsed,DevelopmentHours,Year,Level,Performance,FTE,TargetAchievementPortfolio,LeadershipBehaviorPortfolio,Salary,LengthOfService,TargetAchievement,LeadershipBehavior,Title,AbbrOfPosition
1,Department1,Team1,34,ISD,I,IS,Spanish,COP,Male,11,109,2017,2017,5,1.0,3,3,6933,1.47,2,2,SF-Z-1GB03_G10,FL II
2,Department2,Team2,34,DIS,D,DI,Spanish,BGN,Male,40,4,2017,2017,2,1.0,4,2,17799,27.21,2,3,SF-Z-4GB03_G7,FL II
3,Department3,Team3,32,DSIC,D,DS,Irish,USD,Female,14,109,2016,2016,1,1.0,2,3,3474,29.19,2,4,SF-Z-1GB03_G10,FL I
5,Department5,Team5,25,DCSI,D,DC,French,IDR,Female,1,26,2017,2017,2,1.0,4,3,3821,5.21,2,1,FG-63GB03_G9,FL II
6,Department1,Team6,32,CS,C,CS,Spanish,IDR,Male,16,104,2017,2017,3,1.0,1,1,6567,22.99,2,2,SF3-JPGB03_G12,FL I
8,Department3,Team8,68,SID,S,SI,Japanese,CNY,Female,1,108,2016,2016,4,1.0,3,4,5390,7.09,2,4,SF3-JPGB03_G12,FL II
9,Department4,Team9,23,SICD,S,SI,French,VND,Female,27,43,2016,2016,1,0.4,2,4,5050,20.43,3,2,SF-Z-1GB03_G10,FL II
11,Department1,Team11,34,CDI,C,CD,German,IDR,Female,6,102,2017,2017,3,1.0,2,2,18218,2.18,5,2,SF1-UK-IEGB3_G9,FL V
12,Department2,Team12,56,SIC,S,SI,British,PHP,Female,12,50,2017,2017,4,1.0,4,3,5319,9.89,3,3,SF1-UK-IEGB3_G9,FL VI
13,Department3,Team13,63,CIS,C,CI,German,PHP,Male,34,107,2016,2016,3,1.0,1,2,7350,21.12,2,5,SF3-JPGB03_G12,FL VI
14,Department4,Team14,23,ISD,I,IS,Spanish,IDR,Female,39,31,2016,2016,5,1.0,1,2,16512,10.87,4,5,FG-63GB03_G9,FL II
15,Department5,Team15,68,CDS,C,CD,Italian,CNY,Male,36,14,2017,2017,5,1.0,3,1,7294,26.34,2,1,SF1-UK-IEGB3_G9,FL V
16,Department1,Team1,34,SDIC,S,SD,Polish,UAH,Male,40,103,2017,2017,5,0.8,3,4,10997,20.59,3,2,FG-63GB03_G9,FL II
18,Department3,Team3,40,DCSI,D,DC,French,CNY,Female,35,41,2016,2016,5,1.0,4,2,4342,7.34,3,3,SF3-JPGB03_G12,FL VI
19,Department4,Team4,63,CSD,C,CS,Polish,IDR,Male,31,68,2016,2016,2,1.0,3,1,1788,12.72,1,3,SF-Z-1GB03_G10,FL II
20,Department5,Team5,34,CDI,C,CD,French,PHP,Female,32,77,2016,2016,5,1.0,1,2,7265,6.1,1,1,SF1-UK-IEGB3_G9,FL II
21,Department1,Team6,68,CD,C,CD,Italian,EUR,Female,21,50,2016,2016,5,0.4,4,1,17861,22.25,5,5,SF-Z-1GB03_G10,FL VI
22,Department2,Team7,40,CID,C,CI,Polish,IDR,Female,33,93,2016,2016,2,1.0,4,1,5410,21.56,4,2,SF-Z-4GB03_G7,FL I
23,Department3,Team8,34,DCS,D,DC,Polish,CNY,Female,9,44,2017,2017,5,0.6,1,1,12817,12.51,5,2,FG-63GB03_G9,FL I
24,Department4,Team9,32,ISD,I,IS,American,CNY,Female,26,85,2017,2017,5,1.0,1,4,12675,29.06,4,3,SF-Z-1GB03_G10,FL II
25,Department5,Team10,40,IDCS,I,ID,Japanese,CAD,Female,34,62,2017,2017,1,1.0,1,2,12733,11.67,5,1,SF-Z-1GB03_G10,FL II
26,Department1,Team11,25,CIS,C,CI,Spanish,IDR,Female,30,113,2016,2016,3,1.0,1,1,2246,7.69,2,1,SF3-JPGB03_G12,FL II
27,Department2,Team12,42,IDC,I,ID,Japanese,RUB,Female,36,86,2017,2017,5,1.0,4,3,5395,13.07,3,1,FG-63GB03_G9,FL I
28,Department3,Team13,34,CIS,C,CI,Italian,IDR,Male,30,23,2016,2016,1,1.0,4,4,15440,2.21,3,4,SF3-JPGB03_G12,FL I
30,Department5,Team15,23,ISD,I,IS,British,CNY,Male,9,100,2017,2017,1,1.0,4,3,16009,29.13,4,1,SF-Z-1GB03_G10,FL II
31,Department1,Team1,32,DSCI,D,DS,Scottish,XOF,Male,0,86,2017,2017,5,1.0,3,4,17609,18.69,4,3,FG-63GB03_G9,FL II
32,Department2,Team2,54,ICSD,I,IC,Polish,COP,Female,23,42,2016,2016,5,1.0,2,4,18450,18.21,5,1,SF-Z-1GB03_G10,FL V
33,Department3,Team3,31,ISD,I,IS,American,EUR,Male,21,113,2017,2017,5,0.5,1,4,13534,22.17,5,3,FG-63GB03_G9,FL VI
34,Department4,Team4,22,SICD,S,SI,Japanese,CNY,Female,33,85,2016,2016,2,1.0,4,4,3377,24.77,4,1,SF-Z-1GB03_G10,FL V
35,Department5,Team5,34,I,I,I,American,BRL,Male,15,24,2017,2017,4,1.0,2,4,9203,8.56,4,4,SF-Z-4GB03_G7,FL V
36,Department1,Team6,76,ICSD,I,IC,British,CZK,Male,19,73,2017,2017,3,1.0,3,3,11153,20.05,4,4,SF-Z-1GB03_G10,FL V
37,Department2,Team7,25,ISCD,I,IS,Spanish,PGK,Female,22,47,2016,2016,3,1.0,4,4,9236,25.38,4,1,FG-63GB03_G9,FL I
38,Department3,Team8,68,CISD,C,CI,Spanish,CNY,Female,24,47,2017,2017,5,1.0,4,1,12306,12.11,3,3,SF3-JPGB03_G12,FL II
40,Department5,Team10,34,CDI,C,CD,French,EUR,Male,34,66,2016,2016,2,1.0,4,4,4593,29.85,2,1,SF-Z-1GB03_G10,FL V
41,Department1,Team11,34,CSD,C,CS,Scottish,CNY,Male,15,50,2016,2016,5,1.0,2,4,11436,9.72,2,5,SF1-UK-IEGB3_G9,FL II
42,Department2,Team12,34,IS,I,IS,French,JPY,Female,27,103,2016,2016,2,1.0,4,1,2567,23.38,1,4,SF3-JPGB03_G12,FL I
43,Department3,Team13,34,DSI,D,DS,Irish,CNY,Female,10,5,2016,2016,1,1.0,2,3,13117,16.51,5,5,SF1-UK-IEGB3_G9,FL V
44,Department4,Team14,34,CDSI,C,CD,British,PHP,Female,30,74,2016,2016,3,1.0,2,3,5252,14.96,3,5,SF-Z-1GB03_G10,FL I
45,Department5,Team15,34,CSI,C,CS,Italian,PHP,Male,16,111,2016,2016,1,1.0,3,3,14248,2.57,2,4,SF1-UK-IEGB3_G9,FL I
47,Department2,Team2,40,DI,D,DI,German,MDL,Female,25,39,2017,2017,4,1.0,4,1,10666,6.69,5,5,SF3-JPGB03_G12,FL VI
48,Department3,Team3,25,CDS,C,CD,Scottish,IDR,Female,15,20,2017,2017,2,1.0,3,4,12209,8.42,2,4,SF1-UK-IEGB3_G9,FL II
49,Department4,Team4,23,IDS,I,ID,British,IDR,Male,24,87,2016,2016,1,1.0,3,3,5597,15.03,5,1,SF1-UK-IEGB3_G9,FL II
50,Department5,Team5,61,SCD,S,SC,French,CNY,Female,36,8,2016,2016,2,1.0,3,4,5514,12.7,2,3,SF-Z-4GB03_G7,FL VI
51,Department1,Team6,34,CID,C,CI,French,SEK,Female,38,62,2017,2017,5,1.0,4,1,10793,5.11,4,3,SF3-JPGB03_G12,FL II
52,Department2,Team7,25,ISD,I,IS,Polish,MGA,Male,36,19,2017,2017,3,1.0,2,4,2624,14.1,1,1,FG-63GB03_G9,FL II
53,Department3,Team8,25,ISDC,I,IS,German,CNY,Male,28,82,2016,2016,2,0.4,3,3,15104,26.44,4,4,SF-Z-1GB03_G10,FL II
54,Department4,Team9,44,CS,C,CS,Spanish,CNY,Female,37,65,2016,2016,3,1.0,3,2,2128,24.08,3,4,FG-63GB03_G9,FL VI
55,Department5,Team10,34,SCI,S,SC,Italian,BRL,Female,26,107,2017,2017,4,1.0,4,1,5791,17.55,5,3,SF3-JPGB03_G12,FL I
56,Department1,Team11,34,SIC,S,SI,Polish,MNT,Female,0,18,2017,2017,4,1.0,1,1,13592,15.01,1,2,SF-Z-1GB03_G10,FL I
57,Department2,Team12,34,D,D,D,Scottish,IDR,Male,32,95,2017,2017,2,0.5,3,3,18181,5.07,3,2,SF3-JPGB03_G12,FL II
58,Department3,Team13,32,IDS,I,ID,German,CNY,Female,34,84,2017,2017,4,1.0,1,1,5585,29.7,1,5,SF3-JPGB03_G12,FL II
59,Department4,Team14,34,SDIC,S,SD,British,CNY,Male,3,47,2017,2017,5,0.5,2,3,1903,9.57,4,3,SF-Z-4GB03_G7,FL V
60,Department5,Team15,34,ICSD,I,IC,German,CNY,Male,29,99,2017,2017,1,1.0,1,1,17768,24.46,5,5,SF-Z-4GB03_G7,FL VI
61,Department1,Team1,21,DCIS,D,DC,Polish,KZT,Female,31,21,2016,2016,4,1.0,3,3,3843,7.38,2,3,SF-Z-4GB03_G7,FL I
62,Department2,Team2,40,SICD,S,SI,British,PHP,Male,19,91,2016,2016,1,1.0,3,1,10061,2.25,4,2,SF3-JPGB03_G12,FL I
64,Department4,Team4,61,IDC,I,ID,German,UAH,Male,29,37,2016,2016,3,1.0,3,1,5218,7.6,2,1,SF-Z-4GB03_G7,FL V
65,Department5,Team5,34,CSDI,C,CS,British,CNY,Female,30,33,2016,2016,4,1.0,1,1,12069,22.29,1,3,SF-Z-1GB03_G10,FL II
66,Department1,Team6,44,DIS,D,DI,Japanese,NOK,Female,35,81,2016,2016,3,1.0,4,1,13148,15.03,1,1,FG-63GB03_G9,FL I
67,Department2,Team7,61,ICSD,I,IC,American,USD,Male,12,55,2017,2017,3,1.0,4,2,2568,19.24,2,1,FG-63GB03_G9,FL I
68,Department3,Team8,32,SDC,S,SD,Italian,EUR,Male,6,70,2016,2016,5,0.8,3,3,7128,5.73,3,3,SF-Z-1GB03_G10,FL V
69,Department4,Team9,44,D,D,D,Scottish,EUR,Male,33,18,2017,2017,1,0.5,4,4,15901,26.1,4,5,SF3-JPGB03_G12,FL II
71,Department1,Team11,32,CDSI,C,CD,Polish,PEN,Male,34,26,2016,2016,5,1.0,1,3,16355,19.73,5,3,SF-Z-4GB03_G7,FL VI
